Scenario,Files,Attributes,Data Size (Bytes),Policy,Global Setup (ms),WGA Global Setup (ms),GA Setup (ms),WGA GA Setup (ms),AA Setup (ms),WAA Setup (ms),Encrypt Off (ms),Encrypt On (ms),WDO Encrypt Off (ms),WDO Encrypt On (ms),AES Encrypt Overhead (ms),GA Keygen Off (ms),WGA GA Keygen Off (ms),WGA GA Keygen On (ms),AA Keygen Off (ms),AA Keygen On (ms),WAA Keygen Off (ms),WAA Keygen On (ms),Keygen Ran (ms),WDU TK Update (ms),Decrypt Out (ms),WDU Decrypt (ms),Decrypt User (ms),AES Decrypt Overhead (ms),Total Encrypt Time (ms),Total Decrypt Time (ms),GPK Size (Bytes),GMK Size (Bytes),CT Size (Bytes),UGSK Size (Bytes),UASK Size (Bytes),Success Rate (%)
Fixed_File_1_Attrs_2_Size_1024,1,2,1024,(0 AND 1),5.686800000148651,7.196300000032352,0.13029999990976648,0.12319999996179831,36.68720099994971,32.81010000000606,6.080600000132108,3.157600000122329,5.622399999992922,3.3490999999230553,4.776399999627756,3.1905000000733708,3.231600000162871,0.756800000090152,3.818201000285626,1.6528000001017062,3.9372999999613967,1.7781000001377834,6.028199999946082,5.606400000033318,4.800199999863253,0.0749000000723754,0.07589999995616381,0.34980000054929405,22.98609999979817,5.300800000441086,174,30,804,270,360,100.0
Fixed_File_1_Attrs_2_Size_5120,1,2,5120,(0 AND 1),4.296399999930145,5.358100000194099,0.13320000016392441,0.08750000006330083,32.404200000200944,33.45290099969134,5.736200000228564,3.257100000155333,5.707499999971333,3.240999999889027,0.4871000010098214,3.2009999999900174,3.1412000003001594,0.801099999989674,3.5877999998774612,1.7878000003292982,3.3535000002302695,1.816899999994348,5.871699999715929,5.793000000267057,4.776800999934494,0.07199999981821747,0.07970000024215551,0.4733999990094162,18.42890000125408,5.401900999004283,174,30,804,270,360,100.0
Fixed_File_1_Attrs_2_Size_10240,1,2,10240,(0 AND 1),4.227299999911338,4.955899999913527,0.10070000007544877,0.08810000008452334,33.24370000018462,33.150700999613036,5.813900000248395,3.2249000000774686,5.741599999964819,3.257900000335212,0.8850000003803871,3.2237000000350235,3.1476999997721578,0.8050999999795749,3.4310000000914442,1.6055000000960717,3.395899999759422,1.8991000001733482,5.989899999804038,6.012800000007701,4.914000000098895,0.07689999983995222,0.08949999983087764,0.8844000017234066,18.923300001006282,5.964800001493131,174,30,804,270,360,100.0
Fixed_File_1_Attrs_2_Size_51200,1,2,51200,(0 AND 1),4.717499999969732,4.834300000311487,0.10410000004412723,0.08849999994708924,33.9464010003212,34.17600000011589,5.746199999975943,3.259200999764289,5.80500000023676,3.428600000006554,4.100499999367457,3.6174000001665263,3.5984999999527645,1.1343000001033943,3.921199999695091,1.7081999999390973,4.195600000002742,1.9862999997712905,6.671399999959249,5.886099999770522,4.762900000059744,0.0762999998187297,0.08000000025276677,4.79770000129065,22.339500999351003,9.716900001421891,174,30,804,270,360,100.0
Fixed_File_1_Attrs_2_Size_102400,1,2,102400,(0 AND 1),4.620899999736139,5.600200000117184,0.12109999988751952,0.0918999999157677,35.30820100013443,35.123900000144204,5.912899999657384,3.406301000268286,5.977600000278471,3.5547999996197177,8.94149999749061,3.3687000000099943,3.3648000003267953,0.8867999999893073,3.622700000050827,1.6626999999971304,3.4318999996685307,1.9244000000071537,5.81289999990986,5.7262999998783926,4.636199999822566,0.07249999998748535,0.07989999994606478,8.354499996585218,27.79310099731447,13.143099996341334,174,30,804,270,360,100.0
Fixed_File_1_Attrs_2_Size_512000,1,2,512000,(0 AND 1),4.697700000178884,5.002099999728671,0.15209999992293888,0.12620000006791088,34.38740100000359,33.12030000006416,5.7747000000745174,3.2357000000047265,5.702900000414957,3.28750000016953,40.317101005712175,3.212299999631796,3.3792999997785955,0.8339000000887609,3.7081999998918036,1.6439000000900705,4.496900000049209,1.7510999996375176,5.873200000223733,5.568000000039319,4.853299999922456,0.07479999976567342,0.0793999997767969,40.73300099662447,58.317901006375905,45.740500996089395,174,30,804,270,360,100.0
Fixed_File_1_Attrs_2_Size_1048576,1,2,1048576,(0 AND 1),4.425800000262825,5.681000000095082,0.11709999989761855,0.0884000000951346,32.86010099964187,34.68119999979535,5.910399999720539,3.3209999996870465,5.7707000000846165,3.294600000117498,84.90610102444407,3.207499999916763,3.2462009999107977,0.8791000000201166,3.880799999933515,1.618499999949563,4.304099999899336,1.8434999997225532,5.728699999963283,5.82669999994323,5.651099999795406,0.07330000016736449,0.08100000013655517,82.51600099947609,103.20280102405377,88.32140099957542,174,30,804,270,360,100.0
