Scenario,Files,Attributes,Policy,Setup Time (s),Keygen Time (s),Encrypt Time (s),Decrypt Time (s),MPK Size (Bytes),MSK Size (Bytes),SK Size (Bytes),CT Size (Bytes),Success Rate (%)
Fixed Files (6),6,2,L1: (attr1 AND attr2) OR L2: (attr1 AND attr2) OR L3: (attr1 AND attr2) OR L4: (attr1 AND attr2) OR L5: (attr1 AND attr2) OR L6: (attr1 AND attr2),0.015308380126953125,0.0035266876220703125,0.0050271352132161455,0.001352230707804362,1704,480,360,3846,100.0
Fixed Files (6),6,4,L1: (attr1 AND attr2 AND attr3 AND attr4) OR L2: (attr1 AND attr2 AND attr3 AND attr4) OR L3: (attr1 AND attr2 AND attr3 AND attr4) OR L4: (attr1 AND attr2 AND attr3 AND attr4) OR L5: (attr1 AND attr2 AND attr3 AND attr4) OR L6: (attr1 AND attr2 AND attr3 AND attr4),0.015308380126953125,0.005934238433837891,0.005117495854695638,0.0013430118560791016,1704,480,540,5046,100.0
Fixed Files (6),6,6,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),0.015308380126953125,0.00705409049987793,0.0048732757568359375,0.0012968381245930989,1704,480,720,6246,100.0
Fixed Files (6),6,8,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),0.015308380126953125,0.009300708770751953,0.004862507184346517,0.0013188918431599934,1704,480,900,7446,100.0
Fixed Files (6),6,10,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),0.015308380126953125,0.01099705696105957,0.00501561164855957,0.0013690789540608723,1704,480,1080,8652,100.0
Fixed Files (6),6,12,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),0.015308380126953125,0.012378931045532227,0.005174795786539714,0.0014352003733317058,1704,480,1260,9864,100.0
Fixed Files (6),6,14,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),0.015308380126953125,0.014467477798461914,0.005026419957478841,0.001372218132019043,1704,480,1440,11076,100.0
Fixed Files (8),8,2,L1: (attr1 AND attr2) OR L2: (attr1 AND attr2) OR L3: (attr1 AND attr2) OR L4: (attr1 AND attr2) OR L5: (attr1 AND attr2) OR L6: (attr1 AND attr2) OR L7: (attr1 AND attr2) OR L8: (attr1 AND attr2),0.015308380126953125,0.0035276412963867188,0.004824042320251465,0.0013092756271362305,1704,480,360,5128,100.0
Fixed Files (8),8,4,L1: (attr1 AND attr2 AND attr3 AND attr4) OR L2: (attr1 AND attr2 AND attr3 AND attr4) OR L3: (attr1 AND attr2 AND attr3 AND attr4) OR L4: (attr1 AND attr2 AND attr3 AND attr4) OR L5: (attr1 AND attr2 AND attr3 AND attr4) OR L6: (attr1 AND attr2 AND attr3 AND attr4) OR L7: (attr1 AND attr2 AND attr3 AND attr4) OR L8: (attr1 AND attr2 AND attr3 AND attr4),0.015308380126953125,0.0051496028900146484,0.004872918128967285,0.0013914704322814941,1704,480,540,6728,100.0
Fixed Files (8),8,6,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L7: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L8: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),0.015308380126953125,0.007300138473510742,0.004765629768371582,0.0013786852359771729,1704,480,720,8328,100.0
Fixed Files (8),8,8,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L7: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8) OR L8: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8),0.015308380126953125,0.00913381576538086,0.004611462354660034,0.0013974308967590332,1704,480,900,9928,100.0
Fixed Files (8),8,10,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L7: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10) OR L8: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10),0.015308380126953125,0.010717153549194336,0.004690885543823242,0.0013671815395355225,1704,480,1080,11536,100.0
Fixed Files (8),8,12,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L7: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12) OR L8: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12),0.015308380126953125,0.012529611587524414,0.004755288362503052,0.0013580024242401123,1704,480,1260,13152,100.0
Fixed Files (8),8,14,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L7: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14) OR L8: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6 AND attr7 AND attr8 AND attr9 AND attr10 AND attr11 AND attr12 AND attr13 AND attr14),0.015308380126953125,0.013904094696044922,0.00505182147026062,0.0014233291149139404,1704,480,1440,14768,100.0
Fixed Files (10),10,2,L1: (attr1 AND attr2) OR L2: (attr1 AND attr2) OR L3: (attr1 AND attr2) OR L4: (attr1 AND attr2) OR L5: (attr1 AND attr2) OR L6: (attr1 AND attr2) OR L7: (attr1 AND attr2) OR L8: (attr1 AND attr2) OR L9: (attr1 AND attr2) OR L10: (attr1 AND attr2),0.015308380126953125,0.003519773483276367,0.004815816879272461,0.0012973785400390626,1704,480,360,6410,100.0
Fixed Files (10),10,4,L1: (attr1 AND attr2 AND attr3 AND attr4) OR L2: (attr1 AND attr2 AND attr3 AND attr4) OR L3: (attr1 AND attr2 AND attr3 AND attr4) OR L4: (attr1 AND attr2 AND attr3 AND attr4) OR L5: (attr1 AND attr2 AND attr3 AND attr4) OR L6: (attr1 AND attr2 AND attr3 AND attr4) OR L7: (attr1 AND attr2 AND attr3 AND attr4) OR L8: (attr1 AND attr2 AND attr3 AND attr4) OR L9: (attr1 AND attr2 AND attr3 AND attr4) OR L10: (attr1 AND attr2 AND attr3 AND attr4),0.015308380126953125,0.005235910415649414,0.00492103099822998,0.0013373136520385743,1704,480,540,8410,100.0
Fixed Files (10),10,6,L1: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L2: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L3: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L4: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L5: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L6: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L7: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L8: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L9: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6) OR L10: (attr1 AND attr2 AND attr3 AND attr4 AND attr5 AND attr6),0.015308380126953125,0.0072803497314453125,0.00480954647064209,0.0013285636901855468,1704,480,720,10410,100.0
